120MM.SHP	120mm Cannon shot
SCG03EA.BIN	BIN: GDI Mission 3
SCG03EA.INI	INIF: GDI Mission 3
SCG04EA.BIN	BIN: GDI Mission 4
SCG04EA.INI	INIF: GDI Mission 4
SCG04WA.BIN	BIN: GDI Mission 4wa
SCG04WA.INI	INIF: GDI Mission 4wa
SCG04WB.BIN	BIN: GDI Mission 4wb
SCG04WB.INI	INIF: GDI Mission 4wb
SCG05EA.BIN	BIN: GDI Mission 5
SCG05EA.INI	INIF: GDI Mission 5
SCG05EB.BIN	BIN: GDI Mission 5b
SCG05EB.INI	INIF: GDI Mission 5b
SCG05WA.BIN	BIN: GDI Mission 5wa
SCG05WA.INI	INIF: GDI Mission 5wa
SCG05WB.BIN	BIN: GDI Mission 5wb
SCG05WB.INI	INIF: GDI Mission 5wb
SCG06EA.BIN	BIN: GDI Mission 6
SCG06EA.INI	INIF: GDI Mission 6
SCG07EA.BIN	BIN: GDI Mission 7
SCG07EA.INI	INIF: GDI Mission 7
SCG08EA.BIN	BIN: GDI Mission 8
SCG08EA.INI	INIF: GDI Mission 8
SCG08EB.BIN	BIN: GDI Mission 8b
SCG08EB.INI	INIF: GDI Mission 8b
SCG09EA.BIN	BIN: GDI Mission 9
SCG09EA.INI	INIF: GDI Mission 9
SCG10EA.BIN	BIN: GDI Mission 10
SCG10EA.INI	INIF: GDI Mission 10
SCG10EB.BIN	BIN: GDI Mission 10b
SCG10EB.INI	INIF: GDI Mission 10b
SCG11EA.BIN	BIN: GDI Mission 11
SCG11EA.INI	INIF: GDI Mission 11
SCG12EA.BIN	BIN: GDI Mission 12
SCG12EA.INI	INIF: GDI Mission 12
SCG12EB.BIN	BIN: GDI Mission 12b
SCG12EB.INI	INIF: GDI Mission 12b
SCG13EA.BIN	BIN: GDI Mission 13
SCG13EA.INI	INIF: GDI Mission 13
SCG13EB.BIN	BIN: GDI Mission 13b
SCG13EB.INI	INIF: GDI Mission 13b
SCG14EA.BIN	BIN: GDI Mission 14
SCG14EA.INI	INIF: GDI Mission 14
SCG15EA.BIN	BIN: GDI Mission 15
SCG15EA.INI	INIF: GDI Mission 15
SCG15EB.BIN	BIN: GDI Mission 15b
SCG15EB.INI	INIF: GDI Mission 15b
SCG15EC.BIN	BIN: GDI Mission 15c
SCG15EC.INI	INIF: GDI Mission 15c
SCG22EA.BIN	BIN: Blackout
SCG22EA.INI	INIF: Blackout
SCG23EA.BIN	BIN: Hells Fury
SCG23EA.INI	INIF: Hells Fury
SCG36EA.BIN	BIN: Infiltrated
SCG36EA.INI	INIF: Infiltrated
SCG38EA.BIN	BIN: Elemental Imperitive
SCG38EA.INI	INIF: Elemental Imperitive
SCG40EA.BIN	BIN: Ground Zero
SCG40EA.INI	INIF: Ground Zero
SCG41EA.BIN	BIN: Twist Of Fate
SCG41EA.INI	INIF: Twist Of Fate
SCG50EA.BIN	BIN: Blindsided
SCG50EA.INI	INIF: Blindsided
SCJ01EA.BIN	BIN: Jurassic Mission 1
SCJ01EA.INI	INIF: Jurassic Mission 1
SCJ02EA.BIN	BIN: Jurassic Mission 2
SCJ02EA.INI	INIF: Jurassic Mission 2
SCJ03EA.BIN	BIN: Jurassic Mission 3
SCJ03EA.INI	INIF: Jurassic Mission 3
SCJ04EA.BIN	BIN: Jurassic Mission 4
SCJ04EA.INI	INIF: Jurassic Mission 4
SCJ05EA.BIN	BIN: Jurassic Mission 5
SCJ05EA.INI	INIF: Jurassic Mission 5
SCM01EA.BIN	BIN: Green Acres
SCM01EA.INI	INIF: Green Acres
SCM02EA.BIN	BIN: Sand Trap
SCM02EA.INI	INIF: Sand Trap
SCM03EA.BIN	BIN: Lost Arena
SCM03EA.INI	INIF: Lost Arena
SCM04EA.BIN	BIN: River Raid
SCM04EA.INI	INIF: River Raid
SCM05EA.BIN	BIN: Eye Of The Storm
SCM05EA.INI	INIF: Eye Of The Storm
SCM06EA.BIN	BIN: Lakefront Clash
SCM06EA.INI	INIF: Lakefront Clash
SCM07EA.BIN	BIN: Desert Madness
SCM07EA.INI	INIF: Desert Madness
SCM08EA.BIN	BIN: Pitfall
SCM08EA.INI	INIF: Pitfall
SCM09EA.BIN	BIN: Moosehead Barrons
SCM09EA.INI	INIF: Moosehead Barrons
SCM10EA.BIN	BIN: Red Sands
SCM10EA.INI	INIF: Red Sands
SCM50EA.BIN	BIN: Emerald Highlands
SCM50EA.INI	INIF: Emerald Highlands
SCM51EA.BIN	BIN: Four Corners
SCM51EA.INI	INIF: Four Corners
SCM52EA.BIN	BIN: Cactus Valley
SCM52EA.INI	INIF: Cactus Valley
SCM60EA.BIN	BIN: Monkey In The Middle
SCM60EA.INI	INIF: Monkey In The Middle
SCM61EA.BIN	BIN: King Of The Mountain
SCM61EA.INI	INIF: King Of The Mountain
SCM62EA.BIN	BIN: Surgical Incision
SCM62EA.INI	INIF: Surgical Incision
SCM70EA.BIN	BIN: Winter Waterland
SCM70EA.INI	INIF: Winter Waterland
SCM71EA.BIN	BIN: One Pass Fits All
SCM71EA.INI	INIF: One Pass Fits All
SCM72EA.BIN	BIN: Straight And Narrow
SCM72EA.INI	INIF: Straight And Narrow
SCM73EA.BIN	BIN: King Takes Pawn
SCM73EA.INI	INIF: King Takes Pawn
SCM74EA.BIN	BIN: Nowhere To Hide
SCM74EA.INI	INIF: Nowhere To Hide
SCM75EA.BIN	BIN: Vilage Of The Unfortunate
SCM75EA.INI	INIF: Vilage Of The Unfortunate
SCM77EA.BIN	BIN: Marooned
SCM77EA.INI	INIF: Marooned
SCM90EA.BIN	BIN: A Long Way From Home
SCM90EA.INI	INIF: A Long Way From Home
SCM96EA.BIN	BIN: Tiberium Garden
SCM96EA.INI	INIF: Tiberium Garden
SCM97EA.BIN	BIN: Northern Explosion
SCM97EA.INI	INIF: Northern Explosion
SCM98EA.BIN	BIN: Diverse Reigon
SCM98EA.INI	INIF: Diverse Reigon
SCOLD1.AUD	???
SCOLD2.AUD	???
SCOLD2.JUV	???
SCORE.PAL	PAL: Score
SCOREFNT.FNT	Score
SCORES.INF	INF: List For SCORES.MIX
SCORPAL1.PAL	PAL: ???
SCRATE.SHP	Steel Crate
SCRSCN1.WSA	ANIM: Nod Score screen
SEIGE.VQA	Siege On Base
SEIGE.VQP	Siege On Base
SELECT.SHP	Repairing
SELECT1.AUD	Selection
SELL.SHP	BUTT: Sell
SETHPRE.VQA	Background On The Brotherhood
SETHPRE.VQP	Background On The Brotherhood
SETUP.DIP	Setup Program Strings
SETUP.PAL	PAL: Setup
SFX1.AUD	Sound Effects 1
SFX2.AUD	Sound Effects 2
SFX3.AUD	Sound Effects 3
SFX4.AUD	Sound Effects 4
SH1.TEM	Coast WD
SH1.WIN	Coast WD
SH10.TEM	Coast Corner N-E Ext
SH10.WIN	Coast Corner N-E Ext
SH11.TEM	Fjord WD
SH11.WIN	Fjord WD
SH12.TEM	Coast WU
SH12.WIN	Coast WU
SH13.TEM	Coast WU
SH13.WIN	Coast WU
SH14.TEM	Coast WU
SH14.WIN	Coast WU
SH15.TEM	Coast WU
SH15.WIN	Coast WU
SH16.TEM	Coast WU
SH16.WIN	Fjord WU
SH17.DES	Water
SH17.TEM	Water
SH17.WIN	Water
SH18.DES	Water
SH18.TEM	Water
SH18.WIN	Water
SH19.DES	Coast WD
SH2.TEM	Coast WD
SH2.WIN	Coast WD
SH20.DES	Coast WD
SH21.DES	Coast WD
SH22.DES	Coast WD
SH23.DES	Coast WD
SH24.DES	Fjord WD
SH25.DES	Coast WU
SH26.DES	Coast WU
SH27.DES	Coast WU
SH28.DES	Coast WU
SH29.DES	Coast WU
SH3.TEM	Rock in water
SH3.WIN	Rock in water
SH30.DES	Coast WU
SH31.DES	Fjord WU
SH32.TEM	Coast Corner N-W Int
SH32.WIN	Coast Corner N-W Int
SH33.TEM	Coast Corner N-E Int
SH33.WIN	Coast Corner N-E Int
SH34.TEM	Coast WR
SH34.WIN	Coast WR
SH35.TEM	Coast WL
SH35.WIN	Coast WL
SH36.DES	Coast Corner S-E Int
SH37.DES	Coast Corner W-S Int
SH38.DES	Coast Corner N-E Int
SH39.DES	Coast Corner N-W Int
SH4.TEM	Rock in water
SH4.WIN	Rock in water
SH40.DES	Coast Corner S-E Int
SH41.DES	Coast Corner N-W Int
SH42.DES	Coast WL
SH43.DES	Coast WL
SH44.DES	Coast WR
SH45.DES	Coast WR
SH46.DES	Coast Corner S-E Int
SH47.DES	Coast Corner S-E Int
SH48.DES	Coast Corner N-E Int
SH49.DES	Coast Corner N-W Int
SH5.TEM	Coast WD
SH5.WIN	Coast WD
SH50.DES	Coast Corner S-E Ext
SH51.DES	Coast Corner W-S Ext
SH52.DES	Coast Corner N-E Ext
SH53.DES	Coast Corner N-W Ext
SH54.DES	Coast WD
SH55.DES	Coast WD
SH56.DES	Coast WU
SH57.DES	Coast WU
SH58.DES	Coast WR
SH59.DES	Coast WR
SH6.TEM	Coast WD
SH6.WIN	Coast WD
SH60.DES	Coast WL
SH61.DES	Coast WL
SH62.DES	Coast WD
SH63.DES	Coast WD
SH7.TEM	Coast Corner W-N External
SH7.WIN	Coast Corner W-N External
SH8.TEM	Coast Corner S-E Ext
SH8.WIN	Coast Corner S-E Ext
SH9.TEM	Coast Corner W-S Ext
SH9.WIN	Coast Corner W-S Ext
SHADOW.SHP	Map Shadows
SIDBAR1C.AUD	Sidebar 1
SIDBAR1C.JUV	Sidebar 1
SIDBAR2C.AUD	Sidebar 2
SIDBAR2C.JUV	Sidebar 2
SIDES.PAL	PAL: ???
SILO.SHP	Silo
SILOICNH.DES	ICON: Silo
SILOICNH.TEM	ICON: Silo
SILOICNH.WIN	ICON: Silo
SILOICON.SHP	ICON: Silo
SILOMAKE.SHP	MAKE: Silo
SILOS1.AUD	Silos Needed
SMOKE_M.SHP	Smoke
SMOKEY.SHP	Smoke Cloud
SMOKLAND.SHP	Flare
SNODPAL1.PAL	PAL: ???
SOUNDS.INF	INF: List For SOUNDS.MIX
SPEECH.INF	INF: List For SPEECH.MIX
SPLIT2.TEM	Blossom Tree
SPLIT2.WIN	Blossom Tree
SPLIT3.DES	Blossom Tree
SPLIT3.TEM	Blossom Tree
SPLIT3.WIN	Blossom Tree
SPYCRASH.VQA	Spyplane Crash
SPYCRASH.VQP	Spyplane Crash
SQUISH.SHP	Squished Body
SQUISH2.AUD	Squish
SQUISH2.JUV	Squish
SR1.TEM	Dirt
SR1.WIN	Dirt
SR2.TEM	Dirt
SR2.WIN	Dirt
STEALTH.VQA	Stealth Tank
STEALTH.VQP	Stealth Tank
STEALTH2.SHP	CRAT: Stealth
STEG.SHP	Stegosaurus
STNK.SHP	Stealth Tank
STNKICNH.DES	ICON: Stealth Tank
STNKICNH.TEM	ICON: Stealth Tank
STNKICNH.WIN	ICON: Stealth Tank
STNKICON.SHP	ICON: Stealth Tank
STOPTHEM.AUD	Deception
STRCLOST.AUD	Structure Lost
STRIP.SHP	ICON: Blank tile
STRIPDN.SHP	BUTT: Scroll Down
STRIPUP.SHP	BUTT: Scroll Up
STRUGGLE.AUD	Static Sounds
SUNDIAL.VQA	Sundial Being Blown Up
SUNDIAL.VQP	Sundial Being Blown Up
SYLOOK.VQP	???
T01.TEM	Tree #1
T01.WIN	Tree #1
T02.TEM	Tree #2
T02.WIN	Tree #2
T03.TEM	Tree #3
T03.WIN	Tree #3
T04.DES	Tree #4
T05.TEM	Tree #5
T05.WIN	Tree #5
T06.TEM	Tree #6
T06.WIN	Tree #6
T07.TEM	Tree #7
T07.WIN	Tree #7
T08.DES	Tree #8
T08.TEM	Tree #8
T08.WIN	Tree #8
T09.DES	Tree #9
T10.TEM	Tree #10
T10.WIN	Tree #10
T11.TEM	Tree #11
T11.WIN	Tree #11
T12.TEM	Tree #12
T12.WIN	Tree #12
T13.TEM	Tree #13
T13.WIN	Tree #13
T14.TEM	Tree #14
T14.WIN	Tree #14
T15.TEM	Tree #15
T15.WIN	Tree #15
T16.TEM	Tree #16
T16.WIN	Tree #16
T17.TEM	Tree #17
T17.WIN	Tree #17
T18.DES	Tree #18
TABS.SHP	Options Bar
TANKGO.VQA	Tanks Rolling Through The Desert
TANKGO.VQP	Tanks Rolling Through The Desert
TANKKILL.VQA	Tank Being Blown Up
TANKKILL.VQP	Tank Being Blown Up
TARGET.AUD	Mechanical Man
TARGET1.AUD	Target 1
TARGET2.AUD	Target 2
TARGET3.AUD	Target 3
TBRINFO1.VQA	Tiberium Info 1
TBRINFO1.VQP	Tiberium Info 1
TBRINFO2.VQA	Tiberium Info 2
TBRINFO2.VQP	Tiberium Info 2
TBRINFO3.VQA	Tiberium Info 3
TBRINFO3.VQP	Tiberium Info 3
TC01.TEM	Trees #1
TC01.WIN	Trees #1
TC02.TEM	Trees #2
TC02.WIN	Trees #2
TC03.TEM	Trees #3
TC03.WIN	Trees #3
TC04.TEM	Trees #4
TC04.WIN	Trees #4
TC05.TEM	Trees #5
TC05.WIN	Trees #5
TCLOCK.MRF	???
TEMPERAT.INF	INF: List For TEMPERAT.MIX
TEMPERAT.PAL	PAL: Temperate
TEMPICNH.INF	INF: List For TEMPICNH.MIX
TEXT1.AUD	Text
TEXT2.AUD	Text
TGREEN.MRF	???
TI1.DES	Tiberium 1
TI1.TEM	Tiberium 1
TI1.WIN	Tiberium 1
TI10.DES	Tiberium 10
TI10.TEM	Tiberium 10
TI10.WIN	Tiberium 10
TI11.DES	Tiberium 11
TI11.TEM	Tiberium 11
TI11.WIN	Tiberium 11
TI12.DES	Tiberium 12
TI12.TEM	Tiberium 12
TI12.WIN	Tiberium 12
TI2.DES	Tiberium 2
TI2.TEM	Tiberium 2
TI2.WIN	Tiberium 2
TI3.DES	Tiberium 3
TI3.TEM	Tiberium 3
TI3.WIN	Tiberium 3
TI4.DES	Tiberium 4
TI4.TEM	Tiberium 4
TI4.WIN	Tiberium 4
TI5.DES	Tiberium 5
TI5.TEM	Tiberium 5
TI5.WIN	Tiberium 5
TI6.DES	Tiberium 6
TI6.TEM	Tiberium 6
TI6.WIN	Tiberium 6
TI7.DES	Tiberium 7
TI7.TEM	Tiberium 7
TI7.WIN	Tiberium 7
TI8.DES	Tiberium 8
TI8.TEM	Tiberium 8
TI8.WIN	Tiberium 8
TI9.DES	Tiberium 9
TI9.TEM	Tiberium 9
TI9.WIN	Tiberium 9
TIBERFX.VQA	The Effects Of Tiberium
TIBERFX.VQP	The Effects Of Tiberium
TIME.SHP	Score Screen Clock
TITLE.CPS	PICT: Title screen
TLIGHT.MRF	???
TMOUSE.MRF	???
TMPL.SHP	Temple Of Nod
TMPLICNH.DES	ICON: Temple Of Nod
TMPLICNH.TEM	ICON: Temple Of Nod
TMPLICNH.WIN	ICON: Temple Of Nod
TMPLICON.SHP	ICON: Temple Of Nod
TMPLMAKE.SHP	MAKE: Temple Of Nod
TNKFIRE2.AUD	Tank Fire
TNKFIRE2.JUV	Tank Fire
TNKFIRE3.AUD	Tank Fire
TNKFIRE3.JUV	Tank Fire
TNKFIRE4.AUD	Tank Fire
TNKFIRE4.JUV	Tank Fire
TNKFIRE6.AUD	Tank Fire
TNKFIRE6.JUV	Tank Fire
TONE15.AUD	Tone
TONE15.JUV	Tone
TONE16.AUD	Tone
TONE16.JUV	Tone
TONE2.AUD	Tone
TONE2.JUV	Tone
TONE5.AUD	Tone
TONE5.JUV	Tone
TONEY10.AUD	Tone
TONEY4.AUD	Tone
TONEY7.AUD	Tone
TOSS1.AUD	???
TOSS1.JUV	???
TR_EXIT.CPS	PICT: Large Bar
TR_EXIT.WSA	ANIM: Installation Complete
TRAILER.VQA	Red Alert Preview
TRAILER.VQP	Red Alert Preview
TRAN.SHP	Chinook
TRAN0203.WSA	ANIM: Sound Card Selection
TRAN0204.WSA	ANIM: Sound Card Selection To Mouths
TRAN0205.WSA	ANIM: Sound Card Selection To Bars
TRAN0206.WSA	ANIM: Sound Card Selection To Port IRQ Dma Window
TRAN02A4.WSA	ANIM: Sound Card Selection To Mouths
TRAN0305.WSA	ANIM: Mouth To Bars
TRAN0402.WSA	ANIM: Mouths To Sound Card Selection
TRAN0403.WSA	ANIM: Mouths To Sound Card Selection
TRAN04A2.WSA	ANIM: Mouth To Sound Card Selection
TRAN04A3.WSA	ANIM: Mouth To Sound Card Selection
TRAN0602.WSA	ANIM: Port IRQ Dma Window To Sound Card Selection
TRAN0604.WSA	ANIM: Port IRQ Dma Window To Mouths
TRAN06A4.WSA	ANIM: Port IRQ Dma Window To Mouth
TRANICNH.DES	ICON: Chinook
TRANICNH.TEM	ICON: Chinook
TRANICNH.WIN	ICON: Chinook
TRANICON.SHP	ICON: Chinook
TRANS.ICN	Bulding Placement Tiles
TRANS1.AUD	???
TRANS1.JUV	???
TRANSIT.INF	INF: List For TRANSIT.MIX
TRED.MRF	???
TREEBRN1.AUD	Tree Burn
TREEBRN1.JUV	Tree Burn
TREX.SHP	Tyrannosaurus Rex
TREXIT.CPS	PICT: Bars
TREXIT.WSA	ANIM: Installation Complete
TRIC.SHP	Triceratops
TROUBLE.AUD	Looks Like Trouble
TROUBLE.VAR	Looks Like Trouble SFX
TRTKIL_D.VQA	Turret Being Blown Up In The Desert
TRTKIL_D.VQP	Turret Being Blown Up In The Desert
TSHADE.MRF	???
TSHADOW.MRF	???
TTRANS.MRF	???
TUFFGUY1.AUD	Commando Real Tough Guy
TUNITS.MRF	???
TURRFIR5.AUD	Turret Fire
TURRFIR5.JUV	Turret Fire
TURTKILL.VQA	Turret Being Blown Up In The Forest
TURTKILL.VQP	Turret Being Blown Up In The Forest
TWHITE.MRF	???
TYELLOW.MRF	???
TYPE.FNT	Type
UGOTIT.V01	C&C #2 You Got It
UGOTIT.V03	C&C #2 You Got It
UNIT1.V00	C&C #1 Unit Reporting
UNIT1.V02	C&C #3 Unit Reporting
UNITLOST.AUD	Unit Lost
UNITREDY.AUD	Unit Ready
UPDATE.INF	INF: List For UPDATE.MIX
V01.TEM	Church
V01.WIN	Church
V02.TEM	Civilian Building #1
V02.WIN	Civilian Building #1
V03.TEM	Civilian Building #2
V03.WIN	Civilian Building #2
V04.TEM	Civilian Building #3
V04.WIN	Civilian Building #3
V05.TEM	Civilian Building #4
V05.WIN	Civilian Building #4
V06.TEM	Civilian Building #5
V06.WIN	Civilian Building #5
V07.TEM	Civilian Building #6
V07.WIN	Civilian Building #6
V08.TEM	Civilian Building #7
V08.WIN	Civilian Building #7
V09.TEM	Civilian Building #8
V09.WIN	Civilian Building #8
V10.TEM	Civilian Building #9
V10.WIN	Civilian Building #9
V11.TEM	Civilian Building #10
V11.WIN	Civilian Building #10
V12.TEM	Civilian Building #11
V12.WIN	Civilian Building #11
V13.TEM	Civilian Building #12
V13.WIN	Civilian Building #12
V14.TEM	Field
V14.WIN	Field
V15.TEM	Field
V15.WIN	Field
V16.TEM	Field
V16.WIN	Field
V17.TEM	Field
V17.WIN	Field
V18.TEM	Field
V18.WIN	Field
V19.SHP	Oil Pump
V20.DES	Civilian Building #13
V21.DES	Civilian Building #14
V22.DES	Civilian Building #15
V23.DES	Civilian Building #16
V24.DES	Civilian Building #17
V25.DES	Civilian Building #18
V26.DES	Civilian Building #19
V27.DES	Civilian Building #20
V28.DES	Civilian Building #21
V29.DES	Civilian Building #22
V30.DES	Civilian Building #23
V31.DES	Civilian Building #24
V32.DES	Civilian Building #25
V33.DES	Civilian Building #26
V34.DES	Civilian Building #27
V35.DES	Civilian Building #28
V36.DES	Civilian Building #29
V37.DES	Civilian Building #30
VALKYRIE.AUD	Valkyrie
VCR.FNT	Vcr
VEH-HIT1.SHP	Small Explosion
VEH-HIT2.SHP	Explosion
VEH-HIT3.SHP	Very Small Explosion
VEHIC1.V00	C&C #1 Veicle Reporting
VEHIC1.V02	C&C #3 Veicle Reporting
VICE.SHP	Visceroid
VISOR.VQA	Change Of Plan
VISOR.VQP	Change Of Plan
VOIC226M.AUD	Voices
W1.DES	Water
W1.TEM	Water
W1.WIN	Water
W2.TEM	Water
W2.WIN	Water
WAKE.SHP	Gunboat Wakes
WARFARE.AUD	Warfare
WCLOCK.MRF	???
WCRATE.SHP	Wood Crate
WEAP.SHP	War Factory
WEAP2.SHP	War Factory Base
WEAPICNH.DES	ICON: War Factory
WEAPICNH.TEM	ICON: War Factory
WEAPICNH.WIN	ICON: War Factory
WEAPICON.SHP	ICON: War Factory
WEAPMAKE.SHP	MAKE: War Factory
WGREEN.MRF	???
WIN1.AUD	Great Shot!
WIN1.VAR	Great Shot! SFX
WINTER.INF	INF: List For WINTER.MIX
WINTER.PAL	PAL: Winter
WINTICNH.INF	INF: List For WINTICNH.MIX
WLIGHT.MRF	???
WMOUSE.MRF	???
WOOD.SHP	Wood Fence
WOODICNH.DES	ICON: Wood Fence
WOODICNH.TEM	ICON: Wood Fence
WOODICNH.WIN	ICON: Wood Fence
WOODICON.SHP	ICON: Wood Fence
WORLD2.AUD	World
WRED.MRF	???
WSHADE.MRF	???
WSHADOW.MRF	???
WTRANS.MRF	???
WUNITS.MRF	???
WWHITE.MRF	???
WYELLOW.MRF	???
XPLOBIG4.AUD	Explosion
XPLOBIG4.JUV	Explosion
XPLOBIG6.AUD	Explosion
XPLOBIG6.JUV	Explosion
XPLOBIG7.AUD	Explosion
XPLOBIG7.JUV	Explosion
XPLODE.AUD	Explosion
XPLODE.JUV	Explosion
XPLOS.AUD	Explosion
XPLOS.JUV	Explosion
XPLOSML2.AUD	Explosion
XPLOSML2.JUV	Explosion
YEAH1.AUD	Commando Yeah
YELL1.AUD	Yell
YES1.AUD	Commando Yes Sir!
YESSIR1.V00	C&C #1 Yes Sir!
YESSIR1.V01	C&C #2 Yes Sir!
YESSIR1.V02	C&C #3 Yes Sir!
YESSIR1.V03	C&C #4 Yes Sir!
YO1.AUD	Commando Yo
ZOUNDS.INF	INF: List For ZOUNDS.MIX
